ID,Phase,Track,Title,Start,End,Line,Class,Group
1,Discovery,Stacklife,Discovery,Oct-1-2019,Dec-31-2019,1,Discovery,StackLife
2,Discovery,Stacklife,Agile Monkeys discovery,Oct-1-2019,Dec-31-2019,2,Discovery,Agile Monkeys
3,Discovery,Stacklife,Gaps & overlaps,Oct-1-2019,Dec-31-2019,3,Discovery,Gaps and Overlaps
4,Discovery,Stacklife,Integration goals,Oct-1-2019,Dec-31-2019,4,Discovery,Integration Goals
5,Discovery,Stacklife,Use cases,Oct-1-2019,Nov-15-2019,5,Discovery,Tools
6,Discovery,Stacklife,Identify tools,Nov-15-2019,Dec-31-2019,5,Discovery,Tools
7,Implementation,Stacklife,Implementation,Jan-1-2020,March-31-2020,1,Development,StackLife
8,Implementation,Stacklife,Tool 1 discovery,Jan-1-2020,March-31-2020,5,Discovery,Tools
9,Implementation,Stacklife,Further Development,Apr-1-2020,Jun-30-2020,1,Development,StackLife
10,Implementation,Stacklife,Tool 1 implementation,Apr-1-2020,Jun-30-2020,5,Development,Tools
11,Development,Stacklife,Tool 2 discovery,Apr-1-2020,Jun-30-2020,6,Discovery,Tools
12,Development,Stacklife,Tool 2 implementation,Jul-1-2020,Sep-30-2020,6,Development,Tools
13,Discovery,Digitization,Content Workflow,Oct-1-2019,Dec-31-2019,7,Discovery,Workflow
14,Development,Digitization,Corpus Builder,Oct-1-2019,Dec-31-2019,8,Development,Tooling
15,Development,Digitization,Scan Courts and Cannons,Jan-1-2020,March-31-2020,7,Development,Workflow
16,Development,Digitization,More Scanning,Apr-1-2020,Jun-30-2020,7,Development,Workflow
17,Development,Digitization,Improvements,Jan-1-2020,March-31-2020,8,Development,Tooling
18,Discovery,Sustainability,Maintenance Goals,Jan-1-2020,March-31-2020,9,Discovery,Governance
19,Development,Sustainability,Implement Governance,Apr-1-2020,Jun-30-2020,9,Development,Governance
20,Discovery,Community,Communication plan,Jan-1-2020,March-31-2020,10,Discovery,Communication
21,Development,Community,Live Sharia Source 1.0,Apr-1-2020,Jun-30-2020,10,Development,Communication
22,Development,Community,Start building community,Apr-1-2020,Jun-30-2020,11,Development,Community
